customer_id,age,annual_income,monthly_debt,loan_amount,loan_term_months,credit_score,employment_years,account_age_months,num_previous_loans,previous_defaults,debt_to_income,loan_to_income,default
C0141,60,1674684,86252,417188,72,729,9.5,92,3,0,0.618,0.2491,1
C0142,52,435121,8605,95934,24,724,7.3,81,2,0,0.2373,0.2205,0
C0143,57,2265582,77002,798629,12,780,6.9,54,6,0,0.4079,0.3525,0
C0144,48,2124389,46438,441784,48,678,14.1,104,6,0,0.2623,0.208,0
C0145,50,611043,37748,358036,36,756,0.5,52,0,2,0.7413,0.5859,0
C0146,33,2141886,119212,138825,72,728,11.2,95,3,0,0.6679,0.0648,0
C0147,26,594745,12484,82653,24,636,5.1,137,6,0,0.2519,0.139,1
C0148,46,1798969,76349,117916,60,721,6.0,104,2,0,0.5093,0.0655,0
C0149,59,857535,20264,573473,12,673,3.0,172,0,0,0.2836,0.6687,0
C0150,39,1371734,30124,1333199,36,619,7.0,120,1,1,0.2635,0.9719,0
C0151,51,648221,24768,794007,12,559,10.9,87,4,0,0.4585,1.2249,1
C0152,34,1796208,31391,304515,24,693,2.1,136,3,2,0.2097,0.1695,0
C0153,52,824299,28093,1053833,60,671,5.7,85,3,0,0.409,1.2785,0
C0154,27,2167329,92312,319137,60,664,5.6,125,1,0,0.5111,0.1472,0
C0155,26,800769,23145,522845,36,679,3.6,47,4,0,0.3468,0.6529,0
C0156,58,1431131,83922,685069,60,621,4.5,38,1,0,0.7037,0.4787,0
C0157,33,1696079,12646,145340,72,632,9.8,13,6,0,0.0895,0.0857,0
C0158,24,2368923,145019,657485,72,742,1.4,166,6,0,0.7346,0.2775,0
C0159,52,586071,33735,537002,24,657,6.1,112,2,0,0.6907,0.9163,0
C0160,45,1952338,101701,827079,60,650,12.9,39,3,1,0.6251,0.4236,1
C0161,29,492253,15701,310330,24,739,6.0,163,6,0,0.3828,0.6304,0
C0162,54,2237964,82882,1093061,12,732,5.4,133,3,0,0.4444,0.4884,1
C0163,45,484087,24037,543446,36,713,11.4,173,4,1,0.5959,1.1226,0
C0164,48,1814852,54505,157285,60,644,10.5,17,2,2,0.3604,0.0867,0
C0165,58,1453233,17572,319826,12,622,9.5,162,3,0,0.1451,0.2201,0
C0166,32,1114909,68731,891769,60,702,6.6,160,5,0,0.7398,0.7999,1
C0167,52,904702,42178,718005,24,642,3.2,89,3,0,0.5595,0.7936,1
C0168,55,2334565,80588,1045921,12,628,3.6,150,3,0,0.4142,0.448,0
C0169,24,2270575,61649,1562885,12,767,6.4,154,4,0,0.3258,0.6883,0
C0170,47,899816,17872,116208,60,712,6.0,180,0,0,0.2383,0.1291,0
C0171,49,1135183,10163,1530117,24,732,1.2,126,4,0,0.1074,1.3479,0
C0172,43,1006379,61776,1168048,36,615,12.3,123,6,0,0.7366,1.1606,1
C0173,39,2310798,80249,521580,36,728,8.1,148,6,0,0.4167,0.2257,0
C0174,45,1426964,17974,1252668,72,582,13.0,79,3,0,0.1512,0.8779,0
C0175,32,1498246,47398,977729,72,735,16.6,26,2,0,0.3796,0.6526,0
C0176,58,1419263,16316,1341168,72,662,14.3,41,5,0,0.138,0.945,1
C0177,37,500163,5294,194144,12,720,9.9,126,4,0,0.127,0.3882,0
C0178,53,2282564,54286,1635260,36,660,11.9,172,6,2,0.2854,0.7164,1
C0179,25,1014274,56801,882557,48,732,0.5,15,1,0,0.672,0.8701,0
C0180,23,1531547,81007,275025,36,650,4.8,151,4,0,0.6347,0.1796,0
C0181,31,2394821,88686,390775,72,692,4.4,34,3,0,0.4444,0.1632,0
C0182,41,1090177,55148,946958,60,661,6.3,50,0,0,0.607,0.8686,1
C0183,43,1320384,36995,741274,36,695,10.9,120,4,0,0.3362,0.5614,0
C0184,26,775870,22106,217475,48,640,7.4,125,5,0,0.3419,0.2803,0
C0185,41,1821590,64676,371253,48,660,4.9,40,5,0,0.4261,0.2038,0
C0186,57,1196084,12730,1152067,48,642,11.4,69,4,2,0.1277,0.9632,0
C0187,35,908526,9617,480758,72,785,11.0,119,4,0,0.127,0.5292,1
C0188,31,2022416,75912,171082,60,588,4.4,122,5,1,0.4504,0.0846,0
C0189,36,586308,5948,122371,48,706,10.5,22,0,0,0.1217,0.2087,0
C0190,49,1850602,60790,841667,48,815,9.0,103,6,0,0.3942,0.4548,0
C0191,45,777583,10345,813214,24,752,9.2,141,6,1,0.1596,1.0458,0
C0192,50,1870800,34441,1016001,36,707,6.4,64,5,0,0.2209,0.5431,1
C0193,49,345623,3100,284063,60,709,7.1,158,5,0,0.1076,0.8219,1
C0194,37,1191293,20367,1106746,36,702,9.0,20,4,0,0.2052,0.929,1
C0195,43,1273647,70321,513560,48,716,6.3,175,2,0,0.6625,0.4032,0
C0196,34,2071809,66962,148323,36,762,5.1,148,6,0,0.3878,0.0716,0
C0197,49,905864,33032,555346,24,720,6.2,143,2,0,0.4376,0.6131,1
C0198,49,2026960,71467,331212,48,694,10.5,148,5,1,0.4231,0.1634,0
C0199,28,1078937,41513,132937,12,709,10.7,160,1,0,0.4617,0.1232,0
C0200,36,1676553,4009,494193,24,711,3.9,83,6,0,0.0287,0.2948,0
C0201,61,1137790,39101,848305,48,710,4.6,88,4,0,0.4124,0.7456,0
C0202,52,693592,22986,262994,36,686,10.5,126,6,0,0.3977,0.3792,1
C0203,39,2031449,51786,1244935,24,722,6.3,64,3,0,0.3059,0.6128,0
C0204,54,2337707,46101,1586734,36,729,5.7,123,3,0,0.2366,0.6788,0
C0205,26,421867,3589,56693,48,671,7.8,177,1,0,0.1021,0.1344,1
C0206,55,2192643,17846,1345694,72,657,13.2,101,3,0,0.0977,0.6137,1
C0207,57,2005278,72220,651229,12,699,11.9,76,4,0,0.4322,0.3248,0
C0208,29,683969,11758,302674,24,650,0.6,140,2,0,0.2063,0.4425,0
C0209,46,1983002,41318,1484539,12,695,4.1,63,5,0,0.25,0.7486,0
C0210,47,2276510,4477,1523973,24,779,6.2,20,5,0,0.0236,0.6694,0
C0211,29,458475,17581,334263,12,807,8.1,151,0,0,0.4602,0.7291,0
C0212,34,1599044,29152,1281103,24,695,11.9,10,3,0,0.2188,0.8012,0
C0213,59,1288613,72852,745687,48,637,0.5,179,6,0,0.6784,0.5787,1
C0214,45,505219,16322,293420,12,630,1.1,31,4,0,0.3877,0.5808,0
C0215,24,1426416,48636,1209804,48,630,7.9,64,3,0,0.4092,0.8481,0
C0216,41,1313685,12752,611978,24,615,5.0,24,1,0,0.1165,0.4658,1
C0217,29,663864,19679,157197,24,694,10.4,98,0,0,0.3557,0.2368,0
C0218,24,655888,38321,147584,60,650,8.6,96,3,1,0.7011,0.225,1
C0219,28,1298135,24216,341168,36,671,4.8,103,2,0,0.2239,0.2628,0
C0220,42,2311013,96666,577852,24,678,8.9,25,4,0,0.5019,0.25,1
C0221,42,308384,14448,222774,48,676,10.4,164,2,0,0.5622,0.7224,0
C0222,42,1624967,93133,471216,48,626,1.8,160,2,0,0.6878,0.29,1
C0223,54,1296801,49843,288840,60,726,5.5,106,1,0,0.4612,0.2227,0
C0224,52,1159329,40185,1502980,12,727,5.3,118,3,0,0.4159,1.2964,1
C0225,42,1295110,51412,205116,48,720,7.0,114,4,0,0.4764,0.1584,0
C0226,49,434204,24991,139110,12,701,9.8,98,2,2,0.6907,0.3204,1
C0227,48,1670817,14924,592613,24,680,11.1,8,4,0,0.1072,0.3547,0
C0228,46,1920535,103232,1475131,60,674,4.8,124,0,0,0.645,0.7681,1
C0229,28,766830,22440,409731,48,614,10.2,95,6,0,0.3512,0.5343,0
C0230,51,1617603,41356,143707,72,769,7.5,23,5,1,0.3068,0.0888,0
C0231,38,1011709,32281,536236,48,668,3.6,115,5,0,0.3829,0.53,1
C0232,62,1107638,58302,865447,12,673,3.7,121,6,0,0.6316,0.7813,0
C0233,59,706779,23363,256647,48,625,8.5,99,0,0,0.3967,0.3631,0
C0234,61,1910071,53451,1281038,12,622,3.3,162,4,2,0.3358,0.6707,1
C0235,42,635475,22013,172629,24,644,5.4,67,2,0,0.4157,0.2717,1
C0236,47,2054353,65788,1382743,60,660,6.7,53,1,0,0.3843,0.6731,0
C0237,31,1064748,58722,802959,12,741,5.3,19,3,1,0.6618,0.7541,1
C0238,54,2023280,66054,400755,12,597,5.9,119,1,0,0.3918,0.1981,0
C0239,57,1490771,74053,1121237,12,743,9.2,132,4,2,0.5961,0.7521,0
C0240,25,2131225,59289,941614,12,677,3.6,145,1,0,0.3338,0.4418,0
C0241,51,1382326,17386,1676617,24,765,2.7,118,1,0,0.1509,1.2129,0
C0242,50,976177,11124,483312,24,710,5.0,163,4,0,0.1367,0.4951,0
C0243,43,1507398,91037,1759558,12,729,6.2,137,1,0,0.7247,1.1673,0
C0244,31,836545,11584,725485,24,686,0.5,69,3,2,0.1662,0.8672,1
C0245,49,1853586,54802,1131319,72,705,1.6,29,2,0,0.3548,0.6103,0
C0246,60,290372,13975,290359,72,658,3.9,29,0,0,0.5775,1.0,1
C0247,50,1168569,46270,1197793,60,685,3.5,78,1,0,0.4751,1.025,0
C0248,26,472698,22518,531906,12,765,7.3,31,3,0,0.5716,1.1253,0
C0249,50,1128584,41566,383399,36,695,15.8,172,0,0,0.442,0.3397,0
C0250,33,497211,22499,370349,72,680,10.9,107,5,1,0.543,0.7449,1
C0251,53,606898,31167,59738,12,719,8.9,180,5,0,0.6163,0.0984,0
C0252,53,577075,27104,143670,72,703,12.5,64,2,0,0.5636,0.249,1
C0253,31,879169,44599,394177,48,723,11.7,162,2,0,0.6087,0.4484,0
C0254,51,1191190,15168,343628,12,640,5.3,28,3,0,0.1528,0.2885,1
C0255,40,633364,20672,866808,72,763,7.1,161,0,0,0.3917,1.3686,0
C0256,55,1071240,21368,1405116,12,705,4.2,106,1,0,0.2394,1.3117,1
C0257,54,577845,22740,188394,48,653,0.5,98,6,0,0.4722,0.326,1
C0258,53,586149,6425,64463,36,717,9.4,10,6,0,0.1315,0.11,1
C0259,55,2022448,72328,1177545,60,709,3.4,169,1,0,0.4292,0.5822,1
C0260,32,1650490,78865,1380211,72,685,11.5,106,5,0,0.5734,0.8362,0
C0261,38,522875,16856,692039,60,813,7.3,35,0,0,0.3868,1.3235,1
C0262,31,327607,18266,231773,60,578,0.5,47,2,1,0.6691,0.7075,1
C0263,40,775165,19824,599300,12,675,7.1,115,2,0,0.3069,0.7731,0
C0264,46,512528,30159,644423,24,659,6.3,133,0,0,0.7061,1.2573,1
C0265,30,1237997,34053,146430,48,684,7.0,9,2,0,0.3301,0.1183,0
C0266,58,2038962,44179,570645,48,739,14.5,63,6,1,0.26,0.2799,1
C0267,26,1032224,28275,194549,48,754,7.8,17,6,0,0.3287,0.1885,0
C0268,23,1827359,40219,1232388,36,682,4.1,57,2,0,0.2641,0.6744,0
C0269,35,1308136,32539,1185702,36,798,12.4,12,5,0,0.2985,0.9064,1
C0270,47,1569793,28895,1161101,24,557,0.5,32,1,0,0.2209,0.7397,1
C0271,37,2012485,78122,250439,60,636,5.8,27,1,0,0.4658,0.1244,1
C0272,31,1273092,36208,710621,48,665,10.3,80,2,0,0.3413,0.5582,0
C0273,35,850894,8924,394719,48,617,8.0,45,3,0,0.1259,0.4639,0
C0274,51,1573136,36735,301476,12,737,9.6,124,6,0,0.2802,0.1916,0
C0275,36,1654866,53936,1126802,12,762,10.8,97,5,0,0.3911,0.6809,0
C0276,51,1327957,62560,263715,24,699,4.8,30,6,0,0.5653,0.1986,1
C0277,48,1841286,78326,1279180,36,564,3.3,27,6,1,0.5105,0.6947,1
C0278,28,1670621,7596,1016776,12,730,12.5,37,6,0,0.0546,0.6086,0
C0279,47,2069558,38042,636897,48,723,8.3,53,1,2,0.2206,0.3077,0
C0280,58,2289201,24995,636732,48,707,3.1,21,6,0,0.131,0.2781,0
C0281,57,361914,17718,335484,48,690,14.0,97,2,0,0.5875,0.927,1
C0282,43,1198637,38822,172874,48,596,6.9,13,1,0,0.3887,0.1442,1
C0283,38,1397895,30758,1257313,48,660,0.5,20,2,0,0.264,0.8994,1
C0284,43,1784845,5697,1525247,72,645,6.9,157,1,0,0.0383,0.8546,1
C0285,54,1576262,32490,1311778,24,702,7.5,20,0,0,0.2473,0.8322,1
C0286,31,1709247,44413,174897,12,739,7.0,51,1,0,0.3118,0.1023,0
C0287,46,584219,8621,402909,36,774,0.5,107,2,1,0.1771,0.6897,0
C0288,54,1610783,94691,1228551,72,741,2.7,50,2,0,0.7054,0.7627,0
C0289,34,1867057,25292,1578469,12,764,4.9,38,5,0,0.1626,0.8454,0
C0290,25,1043706,22854,1332159,24,681,15.1,160,3,2,0.2628,1.2764,1
C0291,45,1620158,94925,1455143,72,792,11.1,28,5,0,0.7031,0.8981,1
C0292,27,1750024,105156,276564,72,743,8.0,71,5,0,0.7211,0.158,1
C0293,49,2348135,28588,1788134,48,657,9.7,102,6,0,0.1461,0.7615,1
C0294,27,420143,2657,384198,36,703,2.0,81,1,0,0.0759,0.9144,1
C0295,27,670509,4031,502275,72,817,0.9,129,1,0,0.0721,0.7491,0
C0296,35,1996644,96638,1580866,60,684,7.5,147,1,1,0.5808,0.7918,1
C0297,54,924202,21303,1057321,24,690,7.3,28,0,1,0.2766,1.144,0
C0298,30,1573327,63727,1075710,72,673,0.5,107,3,0,0.4861,0.6837,0
C0299,46,1062585,19262,524464,36,699,4.1,125,4,2,0.2175,0.4936,1
C0300,57,2016385,31820,1210987,12,741,5.5,156,3,0,0.1894,0.6006,0
C0301,53,1268354,67811,1247935,60,689,5.4,14,6,0,0.6416,0.9839,0
C0302,51,1005106,15886,454175,24,709,6.8,48,5,0,0.1897,0.4519,0
C0303,32,1361653,13406,863902,60,765,4.3,23,3,0,0.1181,0.6345,0
C0304,23,2039904,56321,363822,24,617,3.2,34,0,0,0.3313,0.1784,0
C0305,29,1479960,36620,853300,72,611,12.5,111,3,0,0.2969,0.5766,0
C0306,62,1964935,53877,745193,72,695,7.4,15,2,0,0.329,0.3792,1
C0307,42,1584215,31878,331826,36,750,6.1,31,5,0,0.2415,0.2095,0
C0308,28,1068259,15853,903898,72,619,4.2,119,2,0,0.1781,0.8461,0
C0309,33,555217,27575,599753,60,746,5.2,40,0,1,0.596,1.0802,1
C0310,46,1115126,50280,1023536,60,585,4.4,76,5,1,0.5411,0.9179,1
C0311,51,1024839,24921,771942,24,678,11.4,147,6,0,0.2918,0.7532,1
C0312,47,488251,29978,650056,24,730,0.9,47,5,0,0.7368,1.3314,0
C0313,55,364105,2291,298563,24,588,13.9,180,5,1,0.0755,0.82,0
C0314,40,2057574,113619,781296,48,694,12.4,102,5,0,0.6626,0.3797,0
C0315,60,709128,38795,728787,60,716,22.4,101,4,0,0.6565,1.0277,1
C0316,40,1643723,36229,1425982,72,759,2.8,76,1,1,0.2645,0.8675,0
C0317,61,1974911,87904,1093066,36,614,3.8,12,2,0,0.5341,0.5535,0
C0318,59,1076561,49615,516329,72,598,10.7,93,5,0,0.553,0.4796,1
C0319,33,1039738,49525,1222374,24,746,5.8,72,5,0,0.5716,1.1757,1
C0320,42,2043589,50717,596432,60,656,4.7,90,3,2,0.2978,0.2919,1
C0321,62,578700,27013,605575,36,691,4.4,36,3,1,0.5601,1.0464,1
C0322,59,2199193,84938,1550865,24,702,9.0,42,5,0,0.4635,0.7052,0
C0323,26,299769,7191,306679,12,696,4.4,49,1,0,0.2879,1.0231,0
C0324,47,299583,8534,245612,12,756,4.0,15,4,0,0.3418,0.8198,0
C0325,38,1229027,15462,854363,60,639,5.7,39,4,0,0.151,0.6952,0
C0326,52,1696983,92017,330576,36,752,7.5,117,6,0,0.6507,0.1948,0
C0327,48,360214,8920,434867,12,777,7.9,39,4,0,0.2972,1.2072,0
C0328,47,1352857,83675,151894,60,774,11.4,142,5,0,0.7422,0.1123,1
C0329,30,2028083,64180,1521924,24,695,5.1,70,1,0,0.3797,0.7504,0
C0330,56,1412366,81381,1519529,24,582,4.5,165,4,0,0.6914,1.0759,1
C0331,30,725702,36284,261469,36,682,1.5,73,5,0,0.6,0.3603,0
